USER,FRIENDCOUNT
f0,4
f1,8
f2,12
f3,15
f4,17
f5,17
f6,18
f7,18
f8,32
f9,32
f10,32
f11,39
f12,66
f13,71
f14,100
f15,106
f16,115
f17,117
f18,131
f19,165
f20,190
f21,211
f22,233
f23,238
f24,254
f25,264
f26,271
f27,288
f28,319
f29,319
f30,355
f31,365
f32,369
f33,389
f34,394
f35,410
f36,415
f37,418
f38,431
f39,470
f40,491
f41,499
f42,510
f43,560
f44,586
f45,631
f46,650
f47,726
f48,753
f49,792
f50,1036
f51,1071
f52,1079
f53,1098
f54,1203
f55,1251
f56,1288
f57,1295
f58,1354
f59,1354
f60,1492
f61,1871
f62,2024
f63,2348
f64,2365
f65,2392
f66,2546
f67,2778
f68,2795
f69,2809
f70,2945
f71,3196
f72,3227
f73,3303
f74,3341
f75,3411
f76,3502
f77,3556
f78,3987
f79,4175
f80,4213
f81,4751
f82,4788
f83,5530
f84,5990
f85,7996
f86,8239
f87,8253
f88,9645
f89,9916
f90,9991
f91,11323
f92,12983
f93,16121
f94,22043
f95,43974
f96,60110
f97,126568
